element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,2,"=""11554.469""","=""0.005""","=""11554.470""","=""0.003""","=""16""","=""""",,"=""35.19841919""","=""36.2711665""","=""2s2.2p4.(3P).4s""","=""2P""","=""1/2""","=""2s2.2p4.(3P).4p""","=""2S*""","=""1/2""",,"=""""","=""L11301""",
Th,1,"=""11554.7585""","=""0.0007""","=""11554.75975""","=""0.00020""","=""45""","=""""",,"=""2.986152316""","=""4.058872721""","=""6d2.7s.7p""","=""5G*""","=""6""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Fe,1,"=""11555.087""","=""0.004""","=""11555.0864""","=""0.0019""","=""25""","=""""",,"=""5.53924278""","=""6.61193286""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d7.(4F).5p""","=""3F*""","=""4""",,"=""""","=""L11631""",
Hf,1,"=""11555.79""","=""0.07""","=""11555.738""","=""0.008""","=""44""","=""""",,"=""3.28111348""","=""4.3537431""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""","=""""","=""3512""","=""2""",,"=""""","=""L21571c196""",
C,1,"=""11556.41""","=""0.03""","=""11556.4556""","=""0.0004""","=""23000""","=""2.0e+05""",C,"=""8.64039604""","=""9.71295903""","=""2s2.2p.3p""","=""3D""","=""1""","=""2s2.2p.4s""","=""1P*""","=""1""",,"=""T6070""","=""L9405c186""",
Th,1,"=""11557.2151""","=""0.0008""","=""11557.21590""","=""0.00017""","=""33""","=""""",,"=""2.715535366""","=""3.788027797""","=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,1,"=""11557.3342""","=""0.0004""","=""11557.33343""","=""0.00012""","=""230""","=""""",,"=""2.157126090""","=""3.229607614""","=""6d3.(4F).7s""","=""""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L14361""",
Th,1,"=""11558.2124""","=""0.0004""","=""11558.21247""","=""0.00012""","=""240""","=""""",,"=""1.622774763""","=""2.695174721""","=""6d3.(2G).7s""","=""3G""","=""3""","=""5f.6d2.7s""","=""5G*""","=""2""",,"=""""","=""L14361""",
I,1,"=""11558.458""","=""0.003""","=""11558.457""","=""0.009""","=""290""","=""""",,"=""8.0577323""","=""9.1301096""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""3/2""",,"=""""","=""L3674""",
Ar,2,"=""11558.6266""","=""0.0028""","=""11558.6158""","=""0.0008""","=""23bl""","=""""",,"=""23.80181442""","=""24.87417696""","=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).6s""","=""2P""","=""1/2""",,"=""""","=""L11520""",
Hf,1,"=""11560.64""","=""0.13""","=""11560.185""","=""0.017""","=""69*""","=""""",,"=""2.2652078""","=""3.3374248""","=""5d.6s2.(a 2D).6p""","=""z 3P*""","=""0""","=""5d3.(b 2P).6s""","=""c 3P""","=""1""",,"=""""","=""L21571c196""",
Hf,1,"=""11560.64""","=""0.13""","=""11561.067""","=""0.015""","=""69*""","=""""",,"=""3.9203789""","=""4.9925140""","=""5d3.(b 2F).6s""","=""c 3F""","=""2""","=""5d2.(a 3P).6s.(a 2P).6p""","=""u 3D*""","=""2""",,"=""""","=""L21571c196""",
Hf,1,"=""11563.19""","=""0.13""","=""""","=""""","=""59q""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L21571c196""",
Th,1,"=""11563.747""","=""0.004""","=""11563.7476""","=""0.0004""","=""0""","=""""",,"=""3.154490970""","=""4.22637761""","=""""","=""*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L2351""",
Cs,2,"=""11564.498""","=""0.002""","=""11564.499""","=""0.003""","=""390""","=""""",,"=""20.97122439""","=""22.04304140""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).7h""","=""2[7/2]""","=""4""",,"=""""","=""L12126""",
Fe,2,"=""11565.0839""","=""0.0009""","=""11565.0811""","=""0.0008""","=""3.4""","=""6.e+04""",E,"=""12.3455088""","=""13.4172719""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Cs,2,"=""11565.551""","=""0.003""","=""11565.553""","=""0.003""","=""320""","=""""",,"=""20.97131312""","=""22.04303243""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).7h""","=""2[7/2]""","=""3""",,"=""""","=""L12126""",
Fe,2,"=""11565.846""","=""0.004""","=""11565.8424""","=""0.0016""","=""1.1""","=""""",,"=""12.9398343""","=""14.0115268""","=""3d6.(5D).5d""","=""6G""","=""13/2""","=""3d6.(5D<4>).5f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Th,1,"=""11565.913""","=""0.004""","=""11565.9141""","=""0.0003""","=""0""","=""""",,"=""2.944957708""","=""4.01664357""","=""""","=""*""","=""2""","=""6d4""","=""3P1""","=""2""",,"=""""","=""L2351""",
Ti,1,"=""11567.115""","=""0.016""","=""11567.100""","=""0.008""","=""6""","=""""",,"=""3.1042426""","=""4.1758186""","=""3d3.(2F).4s""","=""3F""","=""4""","=""3d3.(4F).4p""","=""w 3F*""","=""3""",,"=""""","=""L10989""",
Fe,1,"=""11568.338""","=""0.004""","=""11568.334""","=""0.004""","=""19""","=""""",,"=""5.6925481""","=""6.76400977""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 5G*""","=""3""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,"=""""","=""L11631""",
V,1,"=""11568.346""","=""0.004""","=""11568.3477""","=""0.0020""","=""9700""","=""""",,"=""3.07117204""","=""4.14263244""","=""3d4.(5D).4p""","=""z 4P*""","=""1/2""","=""3d5""","=""4P""","=""3/2""",,"=""""","=""L15916""",
U,1,"=""11568.81""","=""0.10""","=""""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u10""",
Fe,2,"=""11570.5970""","=""0.0006""","=""11570.5958""","=""0.0012""","=""7bl(Ne)""","=""""",,"=""12.9818165""","=""14.0530687""","=""3d6.(5D).5d""","=""6D""","=""7/2""","=""3d6.(5D<3>).5f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c148""",
Th,1,"=""11571.47847""","=""0.00016""","=""11571.47859""","=""0.00011""","=""1300""","=""""",,"=""2.428647391""","=""3.499817899""","=""6d2.7s.7p""","=""5G*""","=""5""","=""5f.7s2.7p""","=""3F""","=""4""",,"=""""","=""L5951""",
Fe,1,"=""11572.517""","=""0.004""","=""11572.523""","=""0.005""","=""363""","=""""",,"=""6.28000199""","=""7.3510758""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""7""","=""3d6.4s.(6D<9/2>).5f""","=""2[15/2]*""","=""8""",,"=""""","=""L11631""",
Fe,2,"=""11573.2043""","=""0.0019""","=""11573.1849""","=""0.0012""","=""2.7bl(Fe II)*""","=""""",,"=""13.0341827""","=""14.1051952""","=""3d6.(5D).5d""","=""4D""","=""5/2""","=""3d6.(5D<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""11573.2043""","=""0.0019""","=""11573.2064""","=""0.0009""","=""2.7bl(Fe II)*""","=""""",,"=""12.9859880""","=""14.0569986""","=""3d6.(3F2).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L18349c148""",
Th,1,"=""11573.6458""","=""0.0007""","=""11573.64710""","=""0.00017""","=""71""","=""""",,"=""2.157126090""","=""3.228095898""","=""6d3.(4F).7s""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""11573.888""","=""0.002""","=""11573.8763""","=""0.0011""","=""1.1""","=""""",,"=""12.8906141""","=""13.9615627""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""11575.053""","=""0.004""","=""11575.0622""","=""0.0012""","=""1.1""","=""""",,"=""13.0473836""","=""14.1182225""","=""3d6.(3P2).4d""","=""4P""","=""5/2""","=""3d6.(5D<1>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Bk,1,"=""11575.34""","=""0.10""","=""""","=""""","=""10000s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3610""",
Th,1,"=""11575.5148""","=""0.0003""","=""11575.51482""","=""0.00012""","=""370""","=""""",,"=""2.347057245""","=""3.417854251""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L14361""",
Ba,2,"=""11577.083""","=""0.010""","=""11577.085+""","=""0.019""","=""3""","=""1.75e+07""",B,"=""6.1235575""","=""7.1942093""","=""7p""","=""2P*""","=""1/2""","=""8s""","=""2S""","=""1/2""",,"=""T3225,T7387""","=""L9224""",
Fe,2,"=""11577.5113""","=""0.0012""","=""11577.5113""","=""0.0008""","=""2.9""","=""""",,"=""12.9859880""","=""14.0566004""","=""3d6.(3F2).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
Th,1,"=""11577.9878""","=""0.0007""","=""11577.98644""","=""0.00021""","=""59""","=""""",,"=""2.965317362""","=""4.03588578""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Th,1,"=""11578.2584""","=""0.0005""","=""11578.25525""","=""0.00024""","=""110bl""","=""""",,"=""2.444104358""","=""3.514647921""","=""6d3.(2F).7s""","=""3F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L9974""",
Fe,2,"=""11578.937""","=""0.005""","=""11578.9072""","=""0.0011""","=""1.7""","=""""",,"=""12.8444417""","=""13.9149250""","=""3d6.(3P2).4d""","=""2F""","=""5/2""","=""3d6.(3G).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Cs,2,"=""11579.232""","=""0.005""","=""11579.233""","=""0.007""","=""4300""","=""""",,"=""20.97632696""","=""22.0467802""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","=""5p5.(2P*<3/2>).7h""","=""2[11/2]""","=""5""",,"=""""","=""L12126""",
Cs,2,"=""11579.369""","=""0.005""","=""11579.368""","=""0.007""","=""5500""","=""""",,"=""20.97634061""","=""22.0467813""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""5p5.(2P*<3/2>).7h""","=""2[11/2]""","=""6""",,"=""""","=""L12126""",
Th,1,"=""11579.8398""","=""0.0005""","=""11579.84004""","=""0.00016""","=""200""","=""""",,"=""2.457017414""","=""3.527414465""","=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L9974""",
Th,1,"=""11581.3066""","=""0.0005""","=""11581.30597""","=""0.00015""","=""110""","=""""",,"=""2.769682369""","=""3.839943932""","=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Ti,1,"=""11581.567""","=""0.016""","=""11581.574""","=""0.008""","=""6""","=""""",,"=""3.1081403""","=""4.1783771""","=""3d3.(2F).4s""","=""3F""","=""3""","=""3d3.(4F).4p""","=""w 3F*""","=""4""",,"=""""","=""L10989""",
V,1,"=""11581.851""","=""0.010""","=""11581.829""","=""0.007""","=""790""","=""""",,"=""3.5454071""","=""4.61562038""","=""3d3.(4P).4s.4p.(3P*)""","=""x 6D*""","=""7/2""","=""3d4.(5D).5s""","=""e 6D""","=""5/2""",,"=""""","=""L15916""",
Fe,2,"=""11582.1275""","=""0.0007""","=""11582.1253""","=""0.0009""","=""7""","=""""",,"=""12.9818165""","=""14.0520023""","=""3d6.(5D).5d""","=""6D""","=""7/2""","=""3d6.(5D<3>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Th,1,"=""11582.7117""","=""0.0007""","=""11582.71153""","=""0.00024""","=""79""","=""""",,"=""2.777171240""","=""3.84730293""","=""5f.6d2.7s""","=""3I*""","=""5""","=""6d4""","=""3G""","=""5""",,"=""""","=""L9974""",
Ba,1,"=""11583.013""","=""0.010""","=""11583.010+""","=""0.019""","=""4""","=""""",,"=""2.7356673""","=""3.8057715""","=""5d.6p""","=""3F*""","=""2""","=""6s.6d""","=""3D""","=""1""",,"=""""","=""L9224""",
Th,1,"=""11583.4618""","=""0.0008""","=""11583.46171""","=""0.00011""","=""41""","=""""",,"=""2.506331889""","=""3.576394271""","=""6d2.7s.7p""","=""5D*""","=""3""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L9974""",
Co,2,"=""11583.530""","=""0.005""","=""11583.530""","=""0.004""","=""7""","=""""",,"=""12.1861143""","=""13.2561703""","=""3d7.(4F).5p""","=""3F*""","=""2""","=""3d7.(4P).4d""","=""3P""","=""2""",,"=""""","=""L9429c118""",
Th,1,"=""11584.6783""","=""0.0008""","=""11584.67922""","=""0.00020""","=""41""","=""""",,"=""2.285237890""","=""3.35518781""","=""5f.7s2.7p""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L9974""",
C,1,"=""11584.79""","=""0.05""","=""11584.8371""","=""0.0004""","=""70000""","=""4.0e+05""",C,"=""8.643023685""","=""9.71295903""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.4s""","=""1P*""","=""1""",,"=""T6070""","=""L9405c186""",
Th,1,"=""11584.862""","=""0.004""","=""11584.86222""","=""0.00018""","=""320""","=""""",,"=""2.116882543""","=""3.186815564""","=""6d3.(4P).7s""","=""""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Fe,1,"=""11585.217""","=""0.004""","=""11585.208""","=""0.003""","=""200""","=""""",,"=""5.65307019""","=""6.72297125""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""","=""3d7.(4F).5p""","=""5F*""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""11587.0753""","=""0.0010""","=""11587.0774""","=""0.0009""","=""3.5""","=""""",,"=""13.0468933""","=""14.1166218""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d6.(5D<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c139""",
Cs,2,"=""11588.118""","=""0.005""","=""11588.028""","=""0.008""","=""1100bl*""","=""""",,"=""20.97632696""","=""22.0459677""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""5""",,"=""""","=""L12126""",
Cs,2,"=""11588.118""","=""0.005""","=""11588.029""","=""0.004""","=""1100bl*""","=""""",,"=""20.97632696""","=""22.0459676""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""4""",,"=""""","=""L12126""",
Cs,2,"=""11588.118""","=""0.005""","=""11588.176""","=""0.008""","=""1100bl*""","=""""",,"=""20.97634061""","=""22.0459677""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""5""",,"=""""","=""L12126""",
Cs,2,"=""11588.118""","=""0.005""","=""11588.177""","=""0.004""","=""1100bl*""","=""""",,"=""20.97634061""","=""22.0459676""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""4""",,"=""""","=""L12126""",
V,1,"=""11588.146""","=""0.005""","=""11588.126""","=""0.005""","=""1300""","=""""",,"=""3.8152085""","=""4.88484017""","=""3d3.(2G).4s.4p.(3P*)""","=""y 4G*""","=""9/2""","=""3d3.4s.(5F).5s""","=""f 4F""","=""7/2""",,"=""""","=""L15916""",
Fe,2,"=""11588.6332""","=""0.0006""","=""11588.6328""","=""0.0008""","=""60""","=""""",,"=""13.0264775""","=""14.0960624""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d6.(5D<2>).5f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,1,"=""11589.703""","=""0.004""","=""11589.698""","=""0.003""","=""20""","=""""",,"=""5.34111814""","=""6.41060472""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""11589.922""","=""0.011""","=""11589.920""","=""0.005""","=""62""","=""""",,"=""6.28000199""","=""7.3494681""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""7""","=""3d6.4s.(6D<9/2>).5f""","=""2[13/2]*""","=""7""",,"=""""","=""L11631""",
Th,1,"=""11589.9528""","=""0.0003""","=""11589.95262""","=""0.00016""","=""470""","=""""",,"=""2.052464528""","=""3.121927628""","=""6d3.(2H).7s""","=""3H""","=""6""","=""5f.6d2.7s""","=""*""","=""7""",,"=""""","=""L14361""",
Th,1,"=""11591.1493""","=""0.0008""","=""11591.1496""","=""0.0005""","=""41""","=""""",,"=""3.970418531""","=""5.03977119""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Hf,1,"=""11591.74""","=""0.13""","=""11591.629""","=""0.007""","=""29""","=""""",,"=""2.8922710""","=""3.96157941""","=""5d3.(b 4F).6s""","=""b 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""1""",,"=""""","=""L21571c196""",
Fe,2,"=""11592.3976""","=""0.0011""","=""11592.3913""","=""0.0011""","=""4bl(Fe II)*""","=""""",,"=""13.0473836""","=""14.1166218""","=""3d6.(3P2).4d""","=""4P""","=""5/2""","=""3d6.(5D<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c148""",
Fe,2,"=""11592.3976""","=""0.0011""","=""11592.4128""","=""0.0011""","=""4bl(Fe II)*""","=""""",,"=""12.9859880""","=""14.0552242""","=""3d6.(3F2).4d""","=""4P""","=""5/2""","=""3d6.(5D<3>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c148""",
Tl,1,"=""11592.9""","=""1.0""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4830""",
Fe,1,"=""11593.591""","=""0.004""","=""11593.5878""","=""0.0019""","=""8900""","=""1.77e+05""",C+,"=""2.22271209""","=""3.29183986""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""",,"=""T5720""","=""L11631""",
Sc,1,"=""11593.91""","=""0.03""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
Fe,1,"=""11594.550""","=""0.004""","=""11594.5465""","=""0.0019""","=""510""","=""""",,"=""4.58004944""","=""5.64908881""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""",,"=""""","=""L11631""",
Th,2,"=""11594.834""","=""0.005""","=""11594.8388""","=""0.0004""","=""0""","=""""",,"=""2.085174358""","=""3.15418677""","=""6d3""","=""2G""","=""7/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""",,"=""""","=""L2372""",
V,1,"=""11595.692""","=""0.015""","=""11595.702""","=""0.003""","=""690""","=""""",,"=""3.0822349""","=""4.1511678""","=""3d3.4s2""","=""2F""","=""5/2""","=""3d3.(2G).4s.4p.(3P*)""","=""y 2F*""","=""7/2""",,"=""""","=""L15916""",
Th,1,"=""11595.98378""","=""0.00012""","=""11595.98377""","=""0.00010""","=""2600""","=""""",,"=""2.080931827""","=""3.149838693""","=""5f.6d2.7s""","=""5I*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L5951""",
Th,1,"=""11596.9973""","=""0.0007""","=""11596.99728""","=""0.00009""","=""67""","=""""",,"=""1.463377110""","=""2.532190560""","=""6d3.(4P).7s""","=""5P""","=""2""","=""6d.7s2.7p""","=""3P*""","=""1""",,"=""""","=""L9974""",
Fe,2,"=""11598.004""","=""0.004""","=""11598.011""","=""0.004""","=""4""","=""""",,"=""9.8492422""","=""10.9179622""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""11598.3298""","=""0.0018""","=""11598.2967""","=""0.0011""","=""1.7""","=""""",,"=""12.8928690""","=""13.9615627""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c145""",
Fe,2,"=""11598.5322""","=""0.0016""","=""11598.5363""","=""0.0011""","=""2.1""","=""""",,"=""13.0479501""","=""14.1166218""","=""3d6.(3P2).4d""","=""2D""","=""5/2""","=""3d6.(5D<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""11599.304""","=""0.002""","=""11599.3074""","=""0.0009""","=""1.3""","=""""",,"=""13.1871128""","=""14.2557134""","=""3d6.(5D).6p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
Th,1,"=""11600.5214""","=""0.0008""","=""11600.52129""","=""0.00024""","=""19""","=""""",,"=""2.686608273""","=""3.755097039""","=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L9974""",
Mg,2,"=""11600.575""","=""0.010""","=""11600.54""","=""0.10""","=""300*""","=""""",,"=""12.855904""","=""13.924391""","=""2p6.5f""","=""2F*""","=""5/2""","=""2p6.7g""","=""2G""","=""7/2""",,"=""""","=""L6692""",
Mg,2,"=""11600.575""","=""0.010""","=""11600.62""","=""0.10""","=""300*""","=""""",,"=""12.855912""","=""13.924391""","=""2p6.5f""","=""2F*""","=""7/2""","=""2p6.7g""","=""2G""","=""9/2""",,"=""""","=""L6692""",
Th,1,"=""11600.7586""","=""0.0009""","=""11600.75814""","=""0.00018""","=""17""","=""""",,"=""2.318457821""","=""3.38692477""","=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
Ne,1,"=""11601.5369""","=""0.0014""","=""11601.5366""","=""0.0010""","=""2600""","=""7.51e+05""",C+,"=""18.71137667""","=""19.77977193""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
S,1,"=""11601.768""","=""0.010""","=""11601.764""","=""0.010""","=""13""","=""1.31e+07""",C,"=""8.5844038""","=""9.6527781""","=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","=""3s2.3p3.(2D*).4p""","=""1P""","=""1""",,"=""T7952""","=""L119""",
Hf,1,"=""11602.16""","=""0.20""","=""11602.301""","=""0.012""","=""490""","=""7.e+05""",D+,"=""2.5769938""","=""3.64531873""","=""5d3.(b 4P).6s""","=""a 5P""","=""1""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",,"=""T5346""","=""L16323c153""",
Th,1,"=""11602.5892""","=""0.0007""","=""11602.58898""","=""0.00016""","=""71""","=""""",,"=""2.745209091""","=""3.813507442""","=""""","=""*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L9974""",
Fe,1,"=""11602.91""","=""0.03""","=""11602.9099""","=""0.0019""","=""58bl""","=""""",,"=""5.27338780""","=""6.34165661""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5S""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""11604.849""","=""0.005""","=""11604.8265""","=""0.0012""","=""0.5""","=""""",,"=""13.0262214""","=""14.0943138""","=""3d6.(3F2).4d""","=""4G""","=""11/2""","=""3d6.(5D<2>).5f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c145""",
Fe,2,"=""11605.227""","=""0.002""","=""11605.2225""","=""0.0009""","=""2.3""","=""""",,"=""13.0264775""","=""14.0945335""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d6.(5D<2>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Cr,1,"=""11605.446""","=""0.014""","=""11605.468""","=""0.011""","=""1""","=""""",,"=""6.1211766""","=""7.1892100""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 3G*""","=""3""","=""""","=""e 3G""","=""3""",,"=""""","=""L14866""",
Th,1,"=""11605.4681""","=""0.0004""","=""11605.46815""","=""0.00011""","=""260""","=""""",,"=""2.473285786""","=""3.541319107""","=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Cr,1,"=""11606.042""","=""0.009""","=""11606.0430""","=""0.0015""","=""6""","=""""",,"=""4.41047990""","=""5.47846032""","=""3d6""","=""c 5D""","=""2""","=""3d5.(6S).5p""","=""w 5P*""","=""2""",,"=""""","=""L14866""",
Th,1,"=""11606.2381""","=""0.0008""","=""11606.23852""","=""0.00025""","=""39""","=""""",,"=""2.998239060""","=""4.06620149""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Ba,1,"=""11606.996""","=""0.010""","=""11606.996+""","=""0.019""","=""48""","=""""",,"=""2.9994298""","=""4.0673226""","=""5d.6p""","=""3D*""","=""1""","=""5d.7s""","=""3D""","=""1""",,"=""""","=""L9224""",
S,1,"=""11607.376""","=""0.010""","=""11607.376""","=""0.010""","=""4""","=""""",,"=""8.5844038""","=""9.6522616""","=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","=""3s2.3p3.(4S*).6p""","=""5P""","=""1""",,"=""""","=""L119""",
Fe,1,"=""11607.574""","=""0.004""","=""11607.5725""","=""0.0019""","=""25100""","=""9.69e+04""",C+,"=""2.19786640""","=""3.26570610""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",,"=""T5720""","=""L11631""",
Hf,1,"=""11608.4""","=""0.3""","=""11608.196""","=""0.009""","=""16""","=""""",,"=""4.32420697""","=""5.3919893""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1F*""","=""3""","=""5d2.(3F).6s.(a 4F).7s""","=""d 3F""","=""3""",,"=""""","=""L21571c196""",
